DR1ILINE,DR1DRSTZ,DRABF,DR1DAY,DR1LANG,DR1CCMTX,DR1_030Z,DR1FS,DR1_040Z,DR1IGRMS
7,1,2,5,1,12,2,2,2,136
8,1,2,5,1,12,2,2,2,60
9,1,2,5,1,9,2,2,2,112.5
10,1,2,5,1,9,2,2,2,2.5
11,1,2,5,1,5.40E-79,2,2,2,66
12,1,2,5,1,5.40E-79,2,,2,120
13,1,2,5,1,11,4,3,2,399
14,1,2,5,1,11,4,3,2,2.67
15,1,2,5,1,5.40E-79,6,16,2,22
16,1,2,5,1,5.40E-79,6,16,2,152.5
17,1,2,5,1,5.40E-79,6,16,2,43.33
18,1,2,5,1,5.40E-79,6,16,2,48
19,1,2,5,1,5.40E-79,6,1,1,67
1,1,2,3,1,5.40E-79,1,1,1,126
2,1,2,3,1,5.40E-79,1,,1,525
3,1,2,3,1,5.40E-79,6,1,1,63
4,1,2,3,1,5.40E-79,6,1,1,56
5,1,2,3,1,5.40E-79,6,,1,525
6,1,2,3,1,5.40E-79,6,16,2,15
7,1,2,3,1,5.40E-79,6,16,2,40
8,1,2,3,1,5.40E-79,6,16,2,507
9,1,2,3,1,5.40E-79,2,1,1,48
10,1,2,3,1,90,2,3,1,208.25
11,1,2,3,1,90,2,3,1,67.5
12,1,2,3,1,90,2,3,1,40
13,1,2,3,1,90,2,3,1,18.75
14,1,2,3,1,90,2,3,1,60
15,1,2,3,1,90,2,3,1,15
16,1,2,3,1,5.40E-79,2,1,1,620
17,1,2,3,1,90,2,3,1,14.69
18,1,2,3,1,5.40E-79,3,1,1,79.99
19,1,2,3,1,5.40E-79,3,1,1,26.25
20,1,2,3,1,5.40E-79,3,,1,525
21,1,2,3,1,5.40E-79,7,24,2,1014
22,1,2,3,1,5.40E-79,6,1,2,48
23,1,2,3,1,5.40E-79,6,16,2,12.38
24,1,2,3,1,5.40E-79,6,16,2,155
25,1,2,3,1,5.40E-79,6,1,1,41
26,1,2,3,1,5.40E-79,7,,1,525
1,1,2,2,1,5.40E-79,8,1,1,305
2,1,2,2,1,5.40E-79,8,1,1,28
3,1,2,2,1,5.40E-79,8,,1,150
4,1,2,2,1,5.40E-79,8,1,1,60
5,1,2,2,1,5.40E-79,8,1,1,33.75
6,1,2,2,1,5.40E-79,8,16,1,124
7,1,2,2,1,5.40E-79,8,1,1,50
8,1,2,2,1,5.40E-79,8,1,1,122.5
9,1,2,2,1,5.40E-79,8,1,1,305
10,1,2,2,1,1,8,1,1,62
11,1,2,2,1,1,8,,1,180
1,1,2,7,1,1,1,1,1,360
2,1,2,7,1,1,1,1,1,12.5
3,1,2,7,1,1,1,1,1,3.92
4,1,2,7,1,5.40E-79,9,1,1,2028
5,1,2,7,1,9,5,2,1,70
6,1,2,7,1,9,5,2,1,70
7,1,2,7,1,5.40E-79,5,2,1,57.38
8,1,2,7,1,12,5,2,1,227
9,1,2,7,1,12,5,2,1,6
10,1,2,7,1,5.40E-79,5,1,1,320
11,1,2,7,1,5.40E-79,3,16,2,60
12,1,2,7,1,5.40E-79,3,16,2,35
13,1,2,7,1,5.40E-79,3,16,2,72.5
14,1,2,7,1,5.40E-79,3,16,2,172.5
15,1,2,7,1,5.40E-79,3,16,2,21
16,1,2,7,1,14,3,16,2,22.5
17,1,2,7,1,14,3,16,2,62.25
1,1,2,1,1,2,1,1,1,135
2,1,2,1,1,2,1,1,1,4.67
3,1,2,1,1,5.40E-79,1,1,1,50
4,1,2,1,1,5.40E-79,1,19,1,62.5
5,1,2,1,1,1,1,27,1,360
6,1,2,1,1,1,1,27,1,5.08
7,1,2,1,1,1,1,27,1,2
8,1,2,1,1,5.40E-79,3,27,1,55.78
9,1,2,1,1,5.40E-79,3,27,1,63.75
10,1,2,1,1,9,3,27,1,140.63
11,1,2,1,1,9,3,27,1,4.67
12,1,2,1,1,5.40E-79,3,27,1,28
13,1,2,1,1,1,3,27,1,333.5
14,1,2,1,1,1,3,27,1,5.17
15,1,2,1,1,5.40E-79,4,1,1,163.2
16,1,2,1,1,5.40E-79,4,1,1,350.75
17,1,2,1,1,5.40E-79,4,,1,1740
18,1,2,1,1,5,4,27,1,145
19,1,2,1,1,5,4,27,1,14
20,1,2,1,1,5,4,27,1,20
21,1,2,1,1,5,4,27,1,8
22,1,2,1,1,1,4,27,1,402.5
23,1,2,1,1,1,4,27,1,2
24,1,2,1,1,5.40E-79,4,27,1,402.5
25,1,2,1,1,5.40E-79,6,27,1,154
26,1,2,1,1,1,4,27,1,402.5
27,1,2,1,1,1,4,27,1,2
1,1,2,1,2,1,19,1,1,360
2,1,2,1,2,1,19,1,1,10.42
3,1,2,1,2,6,11,2,1,527.19
4,1,2,1,2,6,11,2,1,140
5,1,2,1,2,6,11,2,1,13.13
6,1,2,1,2,1,11,1,1,360
7,1,2,1,2,1,11,1,1,10.42
8,1,2,1,2,5.40E-79,17,1,1,95
9,1,2,1,2,6,12,2,1,527.19
10,1,2,1,2,6,12,2,1,168
11,1,2,1,2,6,12,2,1,13.13
12,1,2,1,2,11,12,2,1,131
13,1,2,1,2,11,12,2,1,2.59
14,1,2,1,2,1,12,1,1,360
15,1,2,1,2,1,12,1,1,10.42
16,1,2,1,2,1,15,1,1,360
17,1,2,1,2,1,15,1,1,10.42
18,1,2,1,2,5.40E-79,15,16,1,28
1,1,2,6,2,5.40E-79,10,1,1,135
2,1,2,6,2,5.40E-79,11,7,2,90
3,1,2,6,2,5.40E-79,11,7,2,81.33
4,1,2,6,2,5.40E-79,12,3,1,66
5,1,2,6,2,5.40E-79,12,1,1,105
6,1,2,6,2,5.40E-79,13,1,1,169
7,1,2,6,2,5.40E-79,16,27,1,28
8,1,2,6,2,5.40E-79,16,27,1,180
9,1,2,6,2,5.40E-79,14,1,1,72
1,1,2,6,1,5.40E-79,1,1,1,255
2,1,2,6,1,5.40E-79,2,3,2,155
3,1,2,6,1,5.40E-79,2,3,2,130
4,1,2,6,1,5.40E-79,2,3,2,402.5
5,1,2,6,1,5.40E-79,6,27,2,56
6,1,2,6,1,5.40E-79,6,27,2,524
7,1,2,6,1,5.40E-79,4,3,1,238
8,1,2,6,1,5.40E-79,4,3,1,248
9,1,2,6,1,5.40E-79,4,3,1,300
10,1,2,6,1,5.40E-79,4,27,1,333.5
11,1,2,6,1,5.40E-79,6,1,1,449.5
1,1,2,6,1,2,1,1,1,16.31
2,1,2,6,1,2,1,1,1,91.5
3,1,2,6,1,5.40E-79,1,1,1,16.88
4,1,2,6,1,5.40E-79,1,1,1,5
5,1,2,6,1,10,1,1,1,84.77
6,1,2,6,1,10,1,1,1,82.03
7,1,2,6,1,10,1,1,1,90.23
8,1,2,6,1,10,1,1,1,98.44
9,1,2,6,1,5.40E-79,1,1,1,22
10,1,2,6,1,5.40E-79,2,1,1,75
11,1,2,6,1,5.40E-79,2,1,1,507
12,1,2,6,1,5.40E-79,6,1,1,102
13,1,2,6,1,5.40E-79,3,3,1,525
14,1,2,6,1,5.40E-79,3,1,1,372
15,1,2,6,1,5.40E-79,3,1,1,183.75
1,1,2,6,1,3,1,1,1,30
2,1,2,6,1,3,1,1,1,2.33
3,1,2,6,1,3,1,1,1,6.67
4,1,2,6,1,5.40E-79,9,1,1,720
5,1,2,6,1,5.40E-79,1,1,1,263.5
6,1,2,6,1,5.40E-79,2,6,2,36
7,1,2,6,1,5.40E-79,2,6,2,10
8,1,2,6,1,5.40E-79,2,6,2,10.31
9,1,2,6,1,5.40E-79,2,6,2,15
10,1,2,6,1,5,2,3,2,92
11,1,2,6,1,5,2,3,2,4
12,1,2,6,1,5,2,3,2,11.2
13,1,2,6,1,5,2,3,2,16
14,1,2,6,1,5,2,3,2,12.8
15,1,2,6,1,5,2,3,2,6.4
16,1,2,6,1,12,2,3,2,32
17,1,2,6,1,12,2,3,2,1.22
18,1,2,6,1,9,2,3,2,110
19,1,2,6,1,9,2,3,2,17
20,1,2,6,1,5.40E-79,2,3,2,62
21,1,2,6,1,5.40E-79,9,1,1,13.13
22,1,2,6,1,5.40E-79,4,1,1,8.38
23,1,2,6,1,5.40E-79,4,1,1,68.75
1,1,2,7,1,5.40E-79,1,1,1,507
2,1,2,7,1,5.40E-79,1,1,1,45
3,1,2,7,1,5.40E-79,1,1,1,244
4,1,2,7,1,5.40E-79,1,1,1,126
5,1,2,7,1,5.40E-79,1,1,1,507
6,1,2,7,1,5.40E-79,5,1,1,18.75
7,1,2,7,1,5.40E-79,5,1,1,720
8,1,2,7,1,5.40E-79,5,1,1,21.88
9,1,2,7,1,5.40E-79,5,1,1,126
10,1,2,7,1,5.40E-79,5,1,1,507
11,1,2,7,1,5.40E-79,6,1,1,200
12,1,2,7,1,5.40E-79,6,1,1,507
13,1,2,7,1,5.40E-79,3,1,1,115.94
14,1,2,7,1,12,3,1,1,177
15,1,2,7,1,12,3,1,1,16
16,1,2,7,1,5.40E-79,3,1,1,435
17,1,2,7,1,5.40E-79,3,1,1,229.69
18,1,2,7,1,5.40E-79,3,1,1,507
1,1,2,6,1,5.40E-79,6,1,1,28
2,1,2,6,1,5.40E-79,6,,1,480
3,1,2,6,1,5,1,1,1,72
4,1,2,6,1,5,1,1,1,150
5,1,2,6,1,5,1,1,1,14
6,1,2,6,1,5.40E-79,1,,1,240
7,1,2,6,1,5.40E-79,1,1,1,225
8,1,2,6,1,5.40E-79,1,1,1,155
9,1,2,6,1,5.40E-79,1,,1,120
10,1,2,6,1,5.40E-79,6,1,2,28
11,1,2,6,1,5.40E-79,6,1,2,28
12,1,2,6,1,5.40E-79,3,3,2,102
13,1,2,6,1,5.40E-79,3,14,2,124
14,1,2,6,1,3,3,3,2,88
15,1,2,6,1,3,3,3,2,7.81
16,1,2,6,1,3,3,3,2,2.5
17,1,2,6,1,5.40E-79,7,,1,480
18,1,2,6,1,5.40E-79,6,1,1,85
1,1,2,7,1,5.40E-79,6,27,2,992
2,1,2,7,1,5.40E-79,9,27,1,114
3,1,2,7,1,2,5,1,1,65.25
4,1,2,7,1,2,5,1,1,294.85
5,1,2,7,1,5.40E-79,4,1,1,581
6,1,2,7,1,5.40E-79,4,1,1,248
1,1,2,6,2,5.40E-79,8,12,1,123.2
2,1,2,6,2,5.40E-79,8,12,1,123.2
3,1,2,6,2,1,8,12,2,3.8
4,1,2,6,2,1,8,12,2,123.2
5,1,2,6,2,5.40E-79,17,12,2,85
6,1,2,6,2,5.40E-79,12,1,2,242
7,1,2,6,2,5.40E-79,12,1,2,8.5
8,1,2,6,2,1,8,12,2,1.9
9,1,2,6,2,1,8,12,2,61.6
10,1,2,6,2,5.40E-79,8,1,1,4.5
11,1,2,6,2,5.40E-79,8,12,1,123.2
12,1,2,6,2,5.40E-79,14,1,1,181.5
13,1,2,6,2,5.40E-79,14,1,1,14
14,1,2,6,2,5.40E-79,14,,1,45
15,1,2,6,2,5.40E-79,16,1,1,8
16,1,2,6,2,5.40E-79,16,12,1,62
17,1,2,6,2,5.40E-79,8,12,1,184.8
1,1,2,7,2,1,10,1,1,360
2,1,2,7,2,1,10,1,1,30
3,1,2,7,2,5.40E-79,10,1,1,76
4,1,2,7,2,5.40E-79,7,1,2,2160
5,1,2,7,2,5.40E-79,11,1,2,92
6,1,2,7,2,5.40E-79,19,1,2,201.5
7,1,2,7,2,5.40E-79,13,1,1,60
8,1,2,7,2,5.40E-79,14,1,1,246.5
9,1,2,7,2,5.40E-79,14,1,1,120
10,1,2,7,2,5.40E-79,14,1,1,81.56
11,1,2,7,2,5.40E-79,14,1,1,95.63
12,1,2,7,2,1,19,1,1,255
13,1,2,7,2,1,19,1,1,15
14,1,2,7,2,5.40E-79,16,1,1,8
15,1,2,7,2,5.40E-79,17,1,1,126
1,4,1,7,2,5.40E-79,10,1,1,183
2,4,1,7,2,5.40E-79,10,,,
3,4,1,7,2,5.40E-79,9,1,1,240
4,4,1,7,2,5.40E-79,11,1,1,9
5,4,1,7,2,5.40E-79,17,16,1,38.5
6,4,1,7,2,90,12,1,1,55.69
7,4,1,7,2,90,12,1,1,55.69
8,4,1,7,2,90,12,1,1,5
9,4,1,7,2,5.40E-79,12,1,1,108.5
10,4,1,7,2,5.40E-79,12,1,1,15
11,4,1,7,2,5.40E-79,12,,,
12,4,1,7,2,5.40E-79,8,,,
13,4,1,7,2,5.40E-79,13,1,1,34
14,4,1,7,2,5.40E-79,13,1,1,30
15,4,1,7,2,5.40E-79,13,1,1,12
16,4,1,7,2,5.40E-79,8,,,
17,4,1,7,2,5.40E-79,17,,,
18,4,1,7,2,5.40E-79,17,1,1,20
19,4,1,7,2,5.40E-79,14,,,
20,4,1,7,2,5.40E-79,14,1,1,244
1,4,1,5,1,5.40E-79,8,,,
2,4,1,5,1,5.40E-79,8,,,
3,4,1,5,1,5.40E-79,8,,,
4,4,1,5,1,5.40E-79,8,,,
5,4,1,5,1,5.40E-79,8,,,
6,4,1,5,1,5.40E-79,8,,,
7,4,1,5,1,5.40E-79,3,1,1,56.7
8,4,1,5,1,5.40E-79,8,,,
9,4,1,5,1,5.40E-79,8,,,
1,1,2,3,1,2,1,1,1,105
2,1,2,3,1,2,1,1,1,13.33
3,1,2,3,1,1,1,1,1,255
4,1,2,3,1,1,1,1,1,10
5,1,2,3,1,1,1,1,1,8.33
6,1,2,3,1,5,3,1,1,85
7,1,2,3,1,5,3,1,1,32.5
8,1,2,3,1,5,3,1,1,28
9,1,2,3,1,5,3,1,1,17
10,1,2,3,1,5,3,1,1,20
11,1,2,3,1,5.40E-79,3,1,1,34.69
12,1,2,3,1,5.40E-79,3,1,1,255
13,1,2,3,1,1,3,1,1,180
14,1,2,3,1,1,3,1,1,10
15,1,2,3,1,1,3,1,1,6.25
16,1,2,3,1,1,6,1,1,217.8
17,1,2,3,1,1,6,1,1,7.5
18,1,2,3,1,1,6,1,1,4.17
19,1,2,3,1,5.40E-79,6,1,1,253.5
1,1,2,6,1,5.40E-79,9,,1,5250
2,1,2,6,1,5.40E-79,4,1,1,425
1,1,2,6,1,1,1,1,1,870
2,1,2,6,1,1,1,1,1,3.33
3,1,2,6,1,1,1,1,1,2.5
4,1,2,6,1,5.40E-79,1,1,1,135
5,1,2,6,1,5.40E-79,9,1,2,1014
6,1,2,6,1,5,2,1,2,161
7,1,2,6,1,5,2,1,2,14
8,1,2,6,1,5,2,1,2,15.6
9,1,2,6,1,5,2,1,2,20
10,1,2,6,1,5,2,1,2,8
11,1,2,6,1,5.40E-79,3,3,2,350
12,1,2,6,1,5.40E-79,3,3,2,20
1,1,2,6,1,1,7,1,2,240
2,1,2,6,1,1,7,1,2,5
3,1,2,6,1,4,2,3,1,14.7
4,1,2,6,1,4,2,3,1,39.38
5,1,2,6,1,4,2,3,1,15
6,1,2,6,1,4,2,3,1,85
7,1,2,6,1,4,2,3,1,5.63
8,1,2,6,1,4,2,3,1,4.71
9,1,2,6,1,5,2,3,1,130
10,1,2,6,1,5,2,3,1,14
11,1,2,6,1,5.40E-79,2,,1,360
12,1,2,6,1,5.40E-79,6,1,1,63
13,1,2,6,1,5.40E-79,6,16,2,8.33
14,1,2,6,1,11,3,2,1,172.5
15,1,2,6,1,11,3,2,1,172.5
16,1,2,6,1,11,3,2,1,17.5
17,1,2,6,1,11,3,2,1,15
18,1,2,6,1,5.40E-79,3,2,1,80.99
19,1,2,6,1,5.40E-79,3,1,1,150
20,1,2,6,1,5.40E-79,3,,1,360
21,1,2,6,1,5.40E-79,7,1,1,360
1,1,2,4,1,5.40E-79,9,,1,1920
2,1,2,4,1,1,5,99,2,195
3,1,2,4,1,1,5,99,2,0.98
4,1,2,4,1,5.40E-79,5,99,2,90
5,1,2,4,1,5.40E-79,5,99,2,70
6,1,2,4,1,5.40E-79,3,3,1,175
7,1,2,4,1,3,3,3,1,70
8,1,2,4,1,3,3,3,1,14
1,1,2,7,1,5.40E-79,1,,1,240
2,1,2,7,1,5.40E-79,1,1,1,256.06
3,1,2,7,1,9,2,1,2,62.5
4,1,2,7,1,9,2,1,2,62.5
5,1,2,7,1,5.40E-79,2,1,2,141.37
6,1,2,7,1,5.40E-79,2,1,2,38.01
7,1,2,7,1,5.40E-79,2,1,2,92
8,1,2,7,1,1,2,16,2,108.5
9,1,2,7,1,1,2,16,2,372
10,1,2,7,1,5.40E-79,3,1,1,125
11,1,2,7,1,5.40E-79,3,1,1,82.5
12,1,2,7,1,5.40E-79,3,16,1,170
13,1,2,7,1,5.40E-79,3,99,1,186
1,1,2,5,1,5.40E-79,1,1,1,45
2,1,2,5,1,5.40E-79,1,1,1,480
3,1,2,5,1,5.40E-79,9,,1,1920
4,1,2,5,1,11,2,2,1,224
5,1,2,5,1,11,2,2,1,64
6,1,2,5,1,4,2,2,1,16.2
7,1,2,5,1,4,2,2,1,87.5
8,1,2,5,1,4,2,2,1,7.5
9,1,2,5,1,4,2,2,1,8.81
10,1,2,5,1,4,2,2,1,1.17
11,1,2,5,1,4,2,2,1,56.7
12,1,2,5,1,5.40E-79,6,1,1,45
13,1,2,5,1,5.40E-79,6,1,1,240
14,1,2,5,1,5.40E-79,6,1,1,71
15,1,2,5,1,1,6,1,1,47
16,1,2,5,1,1,6,1,1,244
17,1,2,5,1,3,6,1,1,36
18,1,2,5,1,3,6,1,1,6.67
1,1,2,7,1,5.40E-79,1,99,1,217
2,1,2,7,1,5.40E-79,1,1,1,2358.6
3,1,2,7,1,5.40E-79,9,1,1,3840
4,1,2,7,1,5.40E-79,1,1,1,450
5,1,2,7,1,5.40E-79,6,1,1,264
6,1,2,7,1,5.40E-79,2,1,1,140
7,1,2,7,1,5.40E-79,2,1,2,106.81
8,1,2,7,1,5,6,3,2,480
9,1,2,7,1,5,6,3,2,20
10,1,2,7,1,5,6,3,2,42.53
11,1,2,7,1,90,3,1,1,210
12,1,2,7,1,90,3,1,1,40
13,1,2,7,1,5.40E-79,3,1,1,450
14,1,2,7,1,5.40E-79,6,1,1,114
1,1,2,6,2,5.40E-79,10,,1,45
2,1,2,6,2,2,10,1,1,27
3,1,2,6,2,2,10,1,1,122.01
4,1,2,6,2,5.40E-79,13,1,1,108.5
5,1,2,6,2,5.40E-79,13,1,1,3
6,1,2,6,2,5.40E-79,13,1,1,3
7,1,2,6,2,5.40E-79,11,1,1,57.81
8,1,2,6,2,5.40E-79,11,1,1,122.25
9,1,2,6,2,5.40E-79,11,1,1,25.31
10,1,2,6,2,5.40E-79,11,16,1,10
11,1,2,6,2,5.40E-79,11,1,1,155
12,1,2,6,2,5.40E-79,11,,1,75.15
13,1,2,6,2,5.40E-79,13,1,1,200
14,1,2,6,2,5.40E-79,13,1,1,75
15,1,2,6,2,5,14,1,1,21.5
16,1,2,6,2,5,14,1,1,28
17,1,2,6,2,5,14,1,1,7
18,1,2,6,2,5,14,1,1,15
19,1,2,6,2,5,14,1,1,10
20,1,2,6,2,5.40E-79,14,1,1,80.5
21,1,2,6,2,1,19,1,1,183
22,1,2,6,2,1,19,1,1,13.33
1,1,2,7,1,5.40E-79,9,,1,480
2,1,2,7,1,5.40E-79,1,1,1,195
3,1,2,7,1,5.40E-79,1,1,1,40
4,1,2,7,1,1,9,1,1,2880
5,1,2,7,1,1,9,1,1,134.4
6,1,2,7,1,5,2,2,1,153
7,1,2,7,1,5,2,2,1,84
8,1,2,7,1,5,2,2,1,42.53
9,1,2,7,1,5,2,2,1,84
10,1,2,7,1,5,2,2,1,28
11,1,2,7,1,5,2,2,1,42.53
12,1,2,7,1,5,2,2,1,110
13,1,2,7,1,5.40E-79,7,1,1,244
14,1,2,7,1,5.40E-79,6,1,1,150
15,1,2,7,1,90,3,3,1,353.5
16,1,2,7,1,90,3,3,1,393.5
18,1,2,7,1,4,3,3,1,111.33
21,1,2,7,1,4,3,3,1,207.81
22,1,2,7,1,4,3,3,1,85
1,1,2,4,1,5.40E-79,1,1,2,29
2,1,2,4,1,5.40E-79,1,1,2,61
3,1,2,4,1,5.40E-79,9,,1,960
4,1,2,4,1,5.40E-79,2,1,2,41.4
5,1,2,4,1,5.40E-79,2,1,2,61.25
6,1,2,4,1,5.40E-79,2,1,2,30
7,1,2,4,1,5.40E-79,6,1,2,21.5
8,1,2,4,1,5.40E-79,6,1,2,12
9,1,2,4,1,5.40E-79,6,1,2,120
10,1,2,4,1,5.40E-79,6,1,1,21
11,1,2,4,1,5.40E-79,3,1,1,125
12,1,2,4,1,90,3,1,1,72
13,1,2,4,1,90,3,1,1,8.5
14,1,2,4,1,5.40E-79,3,1,1,60
15,1,2,4,1,1,3,1,1,62
16,1,2,4,1,1,3,,1,120
17,1,2,4,1,5.40E-79,3,1,1,21.26
18,1,2,4,1,1,3,1,1,122
19,1,2,4,1,1,3,1,1,2.75
1,1,2,2,1,2,1,1,1,52
2,1,2,2,1,2,1,1,1,325.35
3,1,2,2,1,5.40E-79,1,,1,120
4,1,2,2,1,5.40E-79,3,3,2,394.5
5,1,2,2,1,5,3,3,2,110
6,1,2,2,1,5,3,3,2,16
7,1,2,2,1,5.40E-79,3,3,2,30
8,1,2,2,1,5.40E-79,7,27,1,80.5
9,1,2,2,1,5.40E-79,7,,1,315
10,1,2,2,1,5.40E-79,6,27,1,90
1,1,2,7,1,5.40E-79,9,1,2,6084
2,1,2,7,1,1,9,1,2,1521
3,1,2,7,1,1,9,1,2,45
5,1,2,7,1,5.40E-79,1,1,1,538.65
6,1,2,7,1,5.40E-79,1,1,1,240
7,1,2,7,1,5.40E-79,9,27,2,12
8,1,2,7,1,5.40E-79,6,1,2,21
9,1,2,7,1,5,6,3,2,43
10,1,2,7,1,5,6,3,2,70
11,1,2,7,1,5,6,3,2,14
12,1,2,7,1,5,6,3,2,17
13,1,2,7,1,5,6,3,2,5
14,1,2,7,1,5,6,3,2,16
15,1,2,7,1,5,6,3,2,20
16,1,2,7,1,5,6,3,2,20
18,1,2,7,1,5.40E-79,6,3,2,130
19,1,2,7,1,5.40E-79,6,3,2,310
20,1,2,7,1,3,6,3,2,70
21,1,2,7,1,3,6,3,2,14
1,1,2,3,1,2,1,1,1,64.81
2,1,2,3,1,2,1,1,1,172.84
3,1,2,3,1,5.40E-79,9,1,2,380.25
4,1,2,3,1,5.40E-79,2,1,2,213
5,1,2,3,1,5.40E-79,2,1,2,12.5
6,1,2,3,1,5.40E-79,2,1,2,21
7,1,2,3,1,5.40E-79,2,1,2,186
8,1,2,3,1,5.40E-79,9,,2,507
9,1,2,3,1,5.40E-79,9,1,2,507
10,1,2,3,1,5.40E-79,7,1,1,635.5
11,1,2,3,1,5,4,1,1,115
12,1,2,3,1,5,4,1,1,5.21
13,1,2,3,1,5,4,1,1,14
14,1,2,3,1,5,4,1,1,17
15,1,2,3,1,5,4,1,1,20
16,1,2,3,1,5,4,1,1,8
17,1,2,3,1,5.40E-79,4,1,1,91.66
18,1,2,3,1,5.40E-79,4,1,1,11.25
19,1,2,3,1,5.40E-79,4,1,1,507
1,1,2,5,1,5.40E-79,7,27,1,542.5
2,1,2,5,1,5.40E-79,2,1,1,156.75
3,1,2,5,1,5.40E-79,2,27,1,542.5
4,1,2,5,1,5.40E-79,3,3,1,78
5,1,2,5,1,5.40E-79,3,27,1,542.5
6,1,2,5,1,5.40E-79,3,3,1,254
7,1,2,5,1,5.40E-79,7,27,1,542.5
1,1,2,7,2,3,10,1,1,107.44
2,1,2,7,2,3,10,1,1,4.67
3,1,2,7,2,1,10,1,1,366
4,1,2,7,2,1,10,1,1,1.25
5,1,2,7,2,1,10,1,1,4.17
6,1,2,7,2,5.40E-79,11,1,1,507
7,1,2,7,2,5.40E-79,11,1,2,2
8,1,2,7,2,5.40E-79,12,3,2,264
9,1,2,7,2,5.40E-79,12,3,2,524
10,1,2,7,2,5.40E-79,14,1,1,315
11,1,2,7,2,5.40E-79,13,1,1,315
12,1,2,7,2,2,14,1,1,77.94
13,1,2,7,2,2,14,1,1,294.85
14,1,2,7,2,5.40E-79,14,1,1,315
1,1,2,6,1,5.40E-79,9,,1,150
2,1,2,6,1,5.40E-79,9,,1,315
3,1,2,6,1,5.40E-79,1,7,2,147
4,1,2,6,1,5.40E-79,1,7,2,154
5,1,2,6,1,5.40E-79,2,7,2,100
6,1,2,6,1,5.40E-79,2,7,2,244
7,1,2,6,1,5.40E-79,2,7,2,154
8,1,2,6,1,5.40E-79,7,1,1,480
9,1,2,6,1,5.40E-79,3,1,1,101.94
10,1,2,6,1,5.40E-79,3,,1,150
11,1,2,6,1,5.40E-79,6,1,1,40
1,1,2,3,2,5.40E-79,10,1,1,120
2,1,2,3,2,5.40E-79,10,1,1,87.19
3,1,2,3,2,11,10,1,1,40
4,1,2,3,2,11,10,1,1,2.35
5,1,2,3,2,5.40E-79,19,1,1,507
6,1,2,3,2,5.40E-79,11,1,1,80
7,1,2,3,2,5.40E-79,11,1,1,81.5
8,1,2,3,2,4,11,1,1,1.29
9,1,2,3,2,4,11,1,1,37.19
10,1,2,3,2,4,11,1,1,125
11,1,2,3,2,4,11,1,1,10
12,1,2,3,2,4,11,1,1,15
13,1,2,3,2,5.40E-79,11,1,1,507
14,1,2,3,2,5.40E-79,17,1,1,150
15,1,2,3,2,5.40E-79,14,1,2,195
1,1,2,6,1,5.40E-79,1,,1,315
2,1,2,6,1,5.40E-79,1,1,1,150
3,1,2,6,1,5.40E-79,6,1,2,26
4,1,2,6,1,5.40E-79,6,,2,345
5,1,2,6,1,5.40E-79,2,1,2,30
6,1,2,6,1,5.40E-79,2,1,2,46
7,1,2,6,1,5.40E-79,2,,2,345
8,1,2,6,1,5.40E-79,6,16,2,198.75
9,1,2,6,1,5.40E-79,6,,2,315
10,1,2,6,1,5.40E-79,3,3,2,263
11,1,2,6,1,12,3,3,2,50
12,1,2,6,1,12,3,3,2,34
13,1,2,6,1,9,3,3,2,63
14,1,2,6,1,9,3,3,2,34
15,1,2,6,1,5.40E-79,3,,2,315
1,1,2,5,1,2,1,1,1,0.83
2,1,2,5,1,2,1,1,1,3.39
3,1,2,5,1,5.40E-79,6,1,2,77
4,1,2,5,1,5,5,1,2,56
5,1,2,5,1,5,5,1,2,28
6,1,2,5,1,5,5,1,2,16.25
7,1,2,5,1,5,5,1,2,8
8,1,2,5,1,5,5,1,2,20
9,1,2,5,1,5.40E-79,5,1,2,131.25
10,1,2,5,1,5.40E-79,5,1,2,144.38
11,1,2,5,1,5.40E-79,5,1,2,36
12,1,2,5,1,5.40E-79,5,1,2,77
13,1,2,5,1,5.40E-79,2,1,1,70.69
14,1,2,5,1,5.40E-79,2,1,1,232.5
15,1,2,5,1,5.40E-79,2,1,1,50
16,1,2,5,1,5.40E-79,2,1,1,68
17,1,2,5,1,5.40E-79,6,1,1,154
18,1,2,5,1,5,3,1,1,56
19,1,2,5,1,5,3,1,1,28
20,1,2,5,1,5,3,1,1,20
21,1,2,5,1,5,3,1,1,8
22,1,2,5,1,5.40E-79,3,1,1,64
23,1,2,5,1,5.40E-79,3,1,1,133.34
1,1,2,1,1,1,1,1,1,330
2,1,2,1,1,1,1,1,1,2
3,1,2,1,1,1,1,1,1,15.25
4,1,2,1,1,5.40E-79,6,12,1,515.45
5,1,2,1,1,5.40E-79,6,1,1,300
1,1,2,3,1,3,1,1,1,95.5
2,1,2,3,1,3,1,1,1,20
3,1,2,3,1,3,1,1,1,18.67
4,1,2,3,1,3,1,1,1,15
5,1,2,3,1,5.40E-79,9,1,1,1530
6,1,2,3,1,5.40E-79,1,,1,525
7,1,2,3,1,5.40E-79,2,3,1,667
8,1,2,3,1,5.40E-79,9,1,1,330.75
9,1,2,3,1,5.40E-79,2,,1,525
10,1,2,3,1,5.40E-79,6,1,1,79.88
11,1,2,3,1,5.40E-79,6,1,1,36
12,1,2,3,1,5.40E-79,4,1,1,126
13,1,2,3,1,5.40E-79,4,1,1,22.5
14,1,2,3,1,5.40E-79,4,1,1,118
1,1,2,7,1,5.40E-79,9,1,1,870
