DR1ILINE,DR1DRSTZ,DRABF,DR1DAY,DR1LANG,DR1CCMTX,DR1_030Z,DR1FS,DR1_040Z,DR1IGRMS
3,1,2,7,1,3,1,1,1,25
4,1,2,7,1,3,1,1,1,126
5,1,2,7,1,5.40E-79,1,1,1,155
6,1,2,7,1,1,1,1,1,120
7,1,2,7,1,1,1,1,1,5
8,1,2,7,1,1,1,1,1,1
9,1,2,7,1,10,1,1,1,56.25
10,1,2,7,1,10,1,1,1,1
11,1,2,7,1,5.40E-79,9,1,1,960
12,1,2,7,1,5,3,1,1,26
13,1,2,7,1,5,3,1,1,56
14,1,2,7,1,5,3,1,1,5
15,1,2,7,1,5,3,1,1,14
17,1,2,7,1,5.40E-79,3,1,1,56.25
18,1,2,7,1,5.40E-79,6,27,2,55.25
19,1,2,7,1,5.40E-79,7,1,1,240
1,1,2,7,1,5.40E-79,1,1,1,126
2,1,2,7,1,2,1,1,1,163
3,1,2,7,1,2,1,1,1,15.25
4,1,2,7,1,2,1,1,1,0.52
5,1,2,7,1,1,1,17,1,480
6,1,2,7,1,1,1,17,1,16.67
7,1,2,7,1,1,1,17,1,10.17
8,1,2,7,1,5.40E-79,7,1,1,372
9,1,2,7,1,5.40E-79,2,1,1,112
10,1,2,7,1,5.40E-79,2,1,1,241.5
11,1,2,7,1,5.40E-79,2,1,1,15
12,1,2,7,1,5.40E-79,3,1,1,100
13,1,2,7,1,3,3,1,1,50
14,1,2,7,1,3,3,1,1,6.67
15,1,2,7,1,3,3,1,1,9.33
16,1,2,7,1,1,3,17,1,480
17,1,2,7,1,1,3,17,1,16.67
18,1,2,7,1,1,3,17,1,5.08
19,1,2,7,1,5.40E-79,3,1,1,75
20,1,2,7,1,5.40E-79,6,1,1,2
1,1,2,6,1,5.40E-79,6,1,1,21
2,1,2,6,1,5.40E-79,6,1,1,28
3,1,2,6,1,5.40E-79,6,1,1,108.5
4,1,2,6,1,5.40E-79,3,3,1,124
5,1,2,6,1,5.40E-79,3,1,1,105
6,1,2,6,1,5.40E-79,3,1,1,28
1,1,2,6,2,90,10,2,2,170
2,1,2,6,2,90,10,2,2,7.5
3,1,2,6,2,5.40E-79,10,2,2,100
4,1,2,6,2,1,10,2,2,480
5,1,2,6,2,1,10,2,2,60
6,1,2,6,2,5.40E-79,10,2,2,43
7,1,2,6,2,5.40E-79,15,19,1,170
8,1,2,6,2,5.40E-79,14,1,1,46.25
9,1,2,6,2,5.40E-79,14,1,1,124.5
10,1,2,6,2,5.40E-79,14,1,1,104.5
11,1,2,6,2,5.40E-79,14,1,1,524
12,1,2,6,2,5.40E-79,14,1,1,56
13,1,2,6,2,5.40E-79,14,1,1,62.25
14,1,2,6,2,5.40E-79,14,1,1,46.25
15,1,2,6,2,5.40E-79,14,1,1,82.66
1,1,2,4,1,1,1,1,1,359.7
2,1,2,4,1,1,1,1,1,0.33
